,code,logo,ko_name,description,sector,industry,country_code,phone,website,market
0,AAPL,https://file.alphasquare.co.kr/media/images/stock_logo/us/AAPL.png,애플,"Apple은 스마트폰(iPhone), 태블릿(iPad), PC(Mac), 스마트워치(Apple Watch) 및 AirPods를 비롯한 다양한 소비자 전자 장치를 설계합니다. iPhone은 Apple의 총 수익의 대부분을 차지합니다. 또한 Apple은 고객에게 Apple Music, iCloud, Apple Care, Apple TV+, Apple Arcade, Apple Fitness, Apple Card 및 Apple Pay와 같은 다양한 서비스를 제공합니다. Apple의 제품에는 자체 개발한 소프트웨어와 반도체가 포함되며, Apple은 하드웨어, 소프트웨어, 반도체 및 서비스의 통합으로 잘 알려져 있습니다. Apple의 제품은 온라인은 물론 회사 소유 매장과 제3자 판매점을 통해 유통됩니다. 이 회사는 미주에서 수익의 약 40%를 창출하고 나머지는 국제적으로 벌어들입니다.",생활가전/가구,전자제품,US,(408) 996-1010,https://www.apple.com,nasdaq
0,ABNB,https://file.alphasquare.co.kr/media/images/stock_logo/us/ABNB.svg,에어비앤비,2008년에 시작된 에어비앤비는 세계 최대의 온라인 대안 숙박 여행사로 부티크 호텔 및 체험 예약 서비스도 제공합니다. 에어비앤비의 플랫폼은 2022년에 660만 개의 활성 숙박 시설 목록을 제공했습니다. 회사의 400만 개가 넘는 호스트 목록은 전 세계 거의 모든 국가에 퍼져 있습니다. 2022년 4분기 매출의 47%는 북미 지역에서 발생했습니다. 온라인 예약에 대한 거래 수수료는 모든 수익을 차지합니다.,금융,부동산,US,415.800.5959,https://www.airbnb.com,nasdaq
0,ACGL,https://file.alphasquare.co.kr/media/images/stock_logo/us/ACGL.png,아치 캐피털 그룹,"Arch Capital Group Ltd는 버뮤다, 미국, 캐나다, 유럽, 호주 및 남아프리카에서 운영되는 보험 및 재보험을 작성하는 버뮤다 회사입니다. 이 사업은 보험, 재보험 및 모기지의 세 부분으로 운영됩니다. 보험 부문은 다양한 산업 분야의 전 세계 고객에게 전문 위험 솔루션을 제공합니다. 재보험 부문은 재산 재앙, 재산, 책임, 해양, 항공 및 우주, 무역 신용 및 보증, 농업, 사고, 생명 및 건강, 정치적 위험을 다루는 재보험 서비스를 제공합니다. 모기지 비즈니스는 미국, 유럽 및 버뮤다의 플랫폼을 통해 모기지 보험 부문에 위험 관리 및 위험 금융 상품을 제공합니다.",금융,보험,US,441-278-9250,https://www.archgroup.com,nasdaq
0,ADBE,https://file.alphasquare.co.kr/media/images/stock_logo/us/ADBE.png,어도비,"Adobe는 콘텐츠 제작, 문서 관리, 디지털 마케팅 및 광고 소프트웨어와 서비스를 창의적인 전문가와 마케터에게 제공하여 다양한 운영 체제, 장치 및 미디어에서 매력적인 콘텐츠를 생성, 관리, 제공, 측정, 최적화 및 참여시킬 수 있도록 합니다. 이 회사는 디지털 미디어 콘텐츠 제작, 마케팅 솔루션을 위한 디지털 경험, 레거시 제품 출판(매출의 5% 미만)의 세 가지 부문으로 운영됩니다.",IT/ICT,소프트웨어,US,(408) 536-6000,https://www.adobe.com,nasdaq
0,ADI,https://file.alphasquare.co.kr/media/images/stock_logo/us/ADI.png,애널로그 디바이시스,"Analog Devices는 선도적인 아날로그, 혼합 신호 및 디지털 신호 처리 칩 제조업체입니다. 이 회사는 아날로그 신호를 디지털로 또는 그 반대로 변환하는 데 사용되는 변환기 칩에서 상당한 시장 점유율을 차지하고 있습니다. 이 회사는 수만 명의 고객에게 서비스를 제공하고 있으며 칩 판매의 절반 이상이 산업 및 자동차 최종 시장에서 이루어집니다. Analog Devices의 칩은 무선 인프라 장비에도 통합됩니다.",하드웨어/IT장비,반도체/반도체장비,US,(781) 329-4700,https://www.analog.com,nasdaq
0,ADP,https://file.alphasquare.co.kr/media/images/stock_logo/us/ADP.png,오토매틱 데이터 프로세싱,"ADP는 마이크로 기업에서 글로벌 기업에 이르기까지 모든 비즈니스 범위에 서비스를 제공하는 급여 및 인적 자본 관리 솔루션 제공업체입니다. ADP는 1949년에 설립되었으며 주로 미국에서 990,000명 이상의 고객에게 서비스를 제공합니다. ADP의 고용주 서비스 부문은 급여, HCM 솔루션, 인적 자원 아웃소싱, 보험 및 은퇴 서비스를 제공합니다. 작지만 빠르게 성장하는 전문 고용주 조직 부문은 공동 고용 모델을 통해 중소기업에 HR 아웃소싱 솔루션을 제공합니다.",IT/ICT,IT서비스,US,(973) 974-5000,https://www.adp.com,nasdaq
0,ADSK,https://file.alphasquare.co.kr/media/images/stock_logo/us/ADSK.jpeg,오토데스크,"1982년에 설립된 Autodesk는 건축, 엔지니어링 및 건설 산업에 서비스를 제공하는 애플리케이션 소프트웨어 회사입니다. 제품 설계 및 제조; 그리고 미디어와 엔터테인먼트. Autodesk 소프트웨어는 이러한 산업의 설계, 모델링 및 렌더링 요구 사항을 지원합니다. 이 회사는 180개국에 걸쳐 400만 명 이상의 유료 가입자를 보유하고 있습니다.",IT/ICT,소프트웨어,US,(415) 507-5000,https://www.autodesk.com,nasdaq
0,AEP,https://file.alphasquare.co.kr/media/images/stock_logo/us/AEP.jpeg,아메리칸 일렉트릭 파워 컴퍼니,"American Electric Power는 미국에서 가장 큰 규제 대상 유틸리티 중 하나로 11개 주에서 500만 명 이상의 고객에게 발전, 송전 및 배전을 제공합니다. AEP 용량의 약 41%는 석탄이고 나머지는 천연 가스(27%), 재생 에너지 및 수력(23%), 원자력(7%) 및 수요 반응(2%)의 혼합입니다. 수직 통합된 유틸리티, 송배전, 발전 및 마케팅이 수익을 지원합니다.",에너지,전기,US,614-716-1000,https://www.aep.com,nasdaq
0,AKAM,https://file.alphasquare.co.kr/media/images/stock_logo/us/AKAM.png,아카마이 테크놀로지,"Akamai는 Akamai 서버에 콘텐츠를 저장하는 고객이 자신의 고객에게 더 빠르고 안전하며 더 나은 품질로 도달할 수 있도록 네트워크 가장자리에 서버를 배치하는 콘텐츠 전송 네트워크(CDN)를 운영합니다. Akamai는 전 세계 1,000개 이상의 도시에 4,100개 이상의 접속 지점에 분산된 325,000개 이상의 서버를 보유하고 있습니다. 고객은 일반적으로 비디오 콘텐츠를 스트리밍하거나 비디오 게임을 다운로드할 수 있도록 하는 미디어 회사와 전자 상거래 회사 및 금융 기관과 같이 대화형 또는 트래픽이 많은 웹 사이트를 운영하는 기타 기업을 포함합니다. Akamai는 또한 사이버 위협으로부터 고객을 보호하기 위해 핵심 전송 및 컴퓨팅 비즈니스와 통합된 중요한 보안 비즈니스를 보유하고 있습니다.",기타,기타,US,(617) 444-3000,https://www.akamai.com,nasdaq
0,ALGN,https://file.alphasquare.co.kr/media/images/stock_logo/us/ALGN.jpeg,얼라인 테크놀로지,"Align Technology는 투명 얼라이너의 선두 제조업체입니다. 주력 제품인 인비절라인은 1998년 FDA의 승인을 받은 이후 투명교정장치 시장을 장악하며 시장의 90% 이상을 장악하고 있다. 인비절라인은 전체 부정교합 사례(치아 정렬 불량)의 약 90%를 치료할 수 있으며 인비절라인 교육을 받은 치과의사 및 치열 교정 전문의는 230,000명이 넘습니다. 인비절라인은 2022년 전체 교정 사례의 약 10%인 200만 건 이상을 치료했으며 출시 이후 1400만 명 이상의 환자를 치료했다. Align은 또한 환자 치아의 디지털 인상을 캡처하고 치료 계획을 보여주는 iTero라는 브랜드로 구강 스캐너를 판매합니다. Invisalign 사례의 85% 이상이 디지털 스캔으로 제출되며 iTero 스캔이 이러한 스캔의 절반 이상을 차지합니다.",헬스케어,의료장비/용품,US,408-470-1000,https://www.aligntech.com,nasdaq
